age,sex,income,education,live_in_city,own_smartphone,own_tablet,sns_use,newspaper
56,0,8,3,1,1,0,1,1
53,1,1,4,1,1,0,1,1
27,0,4,5,1,1,0,1,1
22,1,1,5,1,1,0,1,1
84,1,1,2,1,0,0,0,0
51,1,5,4,1,1,0,0,1
66,0,6,4,1,0,0,0,0
36,1,5,4,1,1,0,0,1
36,1,6,5,1,1,0,0,1
73,1,1,3,1,0,0,0,0
47,1,6,4,1,1,0,1,1
56,1,5,4,1,1,0,0,1
59,0,6,4,1,1,0,0,1
57,1,5,3,1,1,0,0,1
45,1,10,5,1,1,0,1,1
49,0,13,5,1,1,0,1,1
48,1,1,5,1,1,0,1,1
47,0,14,5,1,1,1,1,1
41,1,1,4,1,1,1,1,1
14,0,1,3,1,1,1,1,1
25,0,1,5,1,1,0,1,0
55,1,1,5,1,1,0,1,1
48,1,1,4,1,1,0,1,1
62,1,1,5,1,1,0,1,1
53,1,1,5,1,1,0,1,1
52,0,14,5,1,1,0,1,1
51,1,1,5,1,1,0,1,1
49,0,14,5,1,1,1,1,1
47,1,1,4,1,1,1,1,1
43,1,1,5,1,1,1,1,1
48,1,1,5,1,1,0,1,1
62,1,1,4,1,1,0,0,0
58,1,1,4,1,1,0,1,1
67,1,4,4,1,0,0,0,0
44,0,8,5,1,1,0,1,1
42,1,4,5,1,1,0,0,1
17,1,1,4,1,0,1,0,0
16,0,1,4,1,1,0,0,0
9,1,1,2,1,1,0,0,0
74,1,3,4,1,1,0,0,0
48,0,4,5,1,1,0,0,1
22,0,1,5,1,1,0,1,1
52,0,8,5,1,1,0,1,1
52,1,4,5,1,1,0,1,1
25,0,1,6,1,1,0,1,0
24,1,5,5,1,1,0,1,1
71,0,4,3,1,1,0,0,0
67,1,1,3,1,1,0,0,0
44,1,11,5,1,1,0,0,1
40,1,6,4,1,1,1,0,1
46,0,16,5,1,1,0,1,1
45,1,1,5,1,1,0,1,0
17,0,1,4,1,1,0,0,0
15,1,1,3,1,1,0,1,0
56,0,11,5,1,1,0,0,1
50,1,4,5,1,1,1,0,0
18,0,1,4,1,0,0,1,0
15,0,1,3,1,1,0,0,0
53,0,14,5,1,1,0,0,0
48,1,1,5,1,1,1,1,1
19,1,1,5,1,1,0,1,1
15,0,1,3,1,1,0,1,1
79,0,3,3,1,1,0,0,1
70,1,5,2,1,1,0,0,1
57,1,5,4,1,1,0,0,0
29,0,7,5,1,1,0,0,0
79,1,2,2,1,1,0,0,0
53,1,5,4,1,1,0,0,0
69,0,6,4,1,1,0,0,0
63,1,2,2,1,1,0,0,0
53,0,10,5,1,1,0,0,1
52,1,1,5,1,1,0,0,0
22,1,1,5,1,1,0,0,0
20,0,1,5,1,1,0,0,0
82,1,4,2,1,0,0,0,0
44,1,5,4,1,1,0,0,0
20,1,1,5,1,1,0,1,0
75,0,5,4,1,0,0,0,0
75,1,1,3,1,1,0,0,0
41,0,8,5,1,1,0,1,1
42,1,5,4,1,1,0,0,1
47,0,8,5,1,1,0,0,1
48,1,5,5,1,1,1,0,1
14,0,1,3,1,1,0,0,1
48,0,8,5,1,1,0,0,1
48,1,5,4,1,1,0,0,1
46,0,8,5,1,1,0,0,1
45,1,4,5,1,1,0,0,1
58,0,7,4,1,1,0,0,1
54,1,2,4,1,1,0,0,1
83,1,3,2,1,0,0,0,0
47,0,7,5,1,1,0,0,0
34,1,1,4,1,1,0,0,0
53,0,8,5,1,1,0,1,0
49,1,6,5,1,1,0,0,0
66,0,7,4,1,1,0,0,0
65,1,6,4,1,1,0,0,0
51,1,1,4,1,1,0,0,1
51,0,6,4,1,1,0,0,1
51,1,5,4,1,1,0,0,0
24,0,1,5,1,1,0,1,1
21,0,1,5,1,1,0,1,1
57,0,7,4,1,1,0,0,1
52,1,4,4,1,1,0,0,0
53,1,1,4,1,1,0,0,0
26,1,6,5,1,1,0,0,0
21,1,1,5,1,1,0,1,0
51,1,4,4,1,1,0,0,0
25,1,6,5,1,1,0,1,1
35,1,8,5,1,1,0,1,1
54,1,1,3,1,1,0,0,0
32,1,6,5,1,1,0,1,1
68,0,5,4,1,1,0,0,1
63,1,1,4,1,1,0,0,1
68,1,1,3,1,1,0,0,1
72,0,5,3,1,1,0,0,1
48,0,6,5,1,1,0,1,1
55,0,7,4,1,1,0,0,0
49,1,8,4,1,1,0,1,0
70,0,5,4,1,0,0,0,0
65,1,7,4,1,0,0,0,0
55,0,18,6,1,1,0,1,1
53,1,1,5,1,1,0,1,0
25,0,1,5,1,1,0,0,0
21,0,1,5,1,1,0,0,0
62,0,12,4,1,1,0,1,1
59,1,1,4,1,1,0,1,1
45,0,9,5,1,1,1,0,0
46,1,6,5,1,1,0,1,1
13,0,1,3,1,1,0,1,1
9,0,1,2,1,1,0,0,0
48,0,8,5,1,1,0,1,1
38,1,7,4,1,1,0,1,0
13,1,1,3,1,1,0,1,0
9,0,1,2,1,0,0,0,0
55,1,6,3,1,1,0,0,0
19,1,2,5,1,1,0,0,1
