rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange
6,-2,OLD,4/26/2020,20148493,13203220,3.9,-2.6
7,0,OLD,4/26/2020,20206190,18074900,5.4,3.8
8,0,OLD,4/26/2020,19888010,7330000,2.2,-17.2
9,1,OLD,4/26/2020,20204741,11887280,3.5,6.1
10,2,OLD,4/26/2020,20190280,7595480,2.3,6.1
1,0,NEW,4/27/2020,20207722,12717000,9.8,100
2,0,OLD,4/27/2020,20167904,12852380,9.9,-59.9
3,-2,OLD,4/27/2020,20192399,18583840,14.4,-66.6
4,1,OLD,4/27/2020,20206865,7987020,6.2,-58.3
5,-2,OLD,4/27/2020,20124721,5686920,4.4,-62
6,0,OLD,4/27/2020,20148493,5199680,4,-60.6
7,0,OLD,4/27/2020,20206190,6664040,5.2,-63.1
8,0,OLD,4/27/2020,19888010,3486500,2.7,-52.4
9,-4,OLD,4/27/2020,20196716,5562700,4.3,-74.1
10,-1,OLD,4/27/2020,20204741,3932780,3,-66.9
1,0,OLD,4/28/2020,20207722,22135500,13.5,74.1
2,0,OLD,4/28/2020,20167904,14988160,9.2,16.6
3,0,OLD,4/28/2020,20192399,22038500,13.5,18.6
4,0,OLD,4/28/2020,20206865,9477420,5.8,18.7
5,1,OLD,4/28/2020,20148493,6327920,3.9,21.7
6,-1,OLD,4/28/2020,20124721,5897580,3.6,3.7
7,0,OLD,4/28/2020,20206190,7415580,4.5,11.3
8,0,OLD,4/28/2020,19888010,3956500,2.4,13.5
9,1,OLD,4/28/2020,20204741,5317160,3.2,35.2
10,-2,OLD,4/28/2020,20196716,5309560,3.2,-4.6
1,0,NEW,4/29/2020,20205402,63872900,13.9,100
2,0,NEW,4/29/2020,20197397,53244000,11.6,100
3,0,NEW,4/29/2020,20184889,51889400,11.3,100
4,0,NEW,4/29/2020,20181685,44646400,9.7,100
5,0,NEW,4/29/2020,20206441,36776600,8,100
6,0,NEW,4/29/2020,20183782,40628120,8.9,100
7,0,NEW,4/29/2020,20177478,36654080,8,100
8,0,NEW,4/29/2020,20206982,24319000,5.3,100
9,-6,OLD,4/29/2020,20192399,22866340,5,3.8
10,-8,OLD,4/29/2020,20167904,14762520,3.2,-1.5
1,0,OLD,4/30/2020,20205402,120277160,14.2,88.3
2,0,OLD,4/30/2020,20197397,97321700,11.5,82.8
3,8,OLD,4/30/2020,20207722,85415460,10.1,789.9
4,0,OLD,4/30/2020,20181685,84541500,10,89.4
5,-2,OLD,4/30/2020,20184889,62780100,7.4,21
6,-1,OLD,4/30/2020,20206441,65248400,7.7,77.4
7,2,OLD,4/30/2020,20192399,60575880,7.1,164.9
8,2,OLD,4/30/2020,20167904,26779180,3.2,81.4
9,-3,OLD,4/30/2020,20183782,38902340,4.6,-4.2
10,-3,OLD,4/30/2020,20177478,34380320,4.1,-6.2
1,0,OLD,5/1/2020,20205402,70128520,12.2,-41.7
2,0,OLD,5/1/2020,20197397,64189060,11.2,-34
3,11,OLD,5/1/2020,20173226,59316340,10.4,342.3
4,0,OLD,5/1/2020,20181685,54055380,9.4,-36.1
5,-2,OLD,5/1/2020,20207722,48828300,8.5,-42.8
6,-1,OLD,5/1/2020,20184889,40896600,7.1,-34.9
7,-1,OLD,5/1/2020,20206441,42848900,7.5,-34.3
8,-1,OLD,5/1/2020,20192399,38905780,6.8,-35.8
9,-1,OLD,5/1/2020,20167904,17286460,3,-35.4
10,0,OLD,5/1/2020,20177478,20258880,3.5,-41.1
1,0,OLD,5/2/2020,20205402,87576300,14.2,24.9
2,0,OLD,5/2/2020,20197397,70052600,11.4,9.1
3,1,OLD,5/2/2020,20181685,63385960,10.3,17.3
4,-1,OLD,5/2/2020,20173226,62799180,10.2,5.9
5,1,OLD,5/2/2020,20184889,41190160,6.7,0.7
6,-1,OLD,5/2/2020,20207722,46914680,7.6,-3.9
7,0,OLD,5/2/2020,20206441,49402700,8,15.3
8,0,OLD,5/2/2020,20192399,43253140,7,11.2
9,0,OLD,5/2/2020,20167904,18283320,3,5.8
10,0,OLD,5/2/2020,20177478,18307300,3,-9.6
1,0,OLD,5/3/2020,20205402,87163120,14.1,-0.5
2,0,OLD,5/3/2020,20197397,66494180,10.8,-5.1
3,0,OLD,5/3/2020,20181685,61159000,9.9,-3.5
4,0,OLD,5/3/2020,20173226,61865020,10,-1.5
5,1,OLD,5/3/2020,20207722,53831200,8.7,14.7
6,1,OLD,5/3/2020,20206441,53474800,8.7,8.2
7,-2,OLD,5/3/2020,20184889,40021420,6.5,-2.8
8,0,OLD,5/3/2020,20192399,44541220,7.2,3
9,0,OLD,5/3/2020,20167904,17631800,2.9,-3.6
10,0,OLD,5/3/2020,20177478,16763240,2.7,-8.4
1,0,OLD,5/4/2020,20205402,49939400,13.4,-42.7
2,2,OLD,5/4/2020,20173226,44187640,11.9,-28.6
3,-1,OLD,5/4/2020,20197397,42161900,11.3,-36.6
4,1,OLD,5/4/2020,20207722,35187300,9.5,-34.6
5,-2,OLD,5/4/2020,20181685,31369220,8.4,-48.7
6,1,OLD,5/4/2020,20184889,25475240,6.8,-36.3
7,1,OLD,5/4/2020,20192399,27412400,7.4,-38.5
8,-2,OLD,5/4/2020,20206441,27520900,7.4,-48.5
9,0,OLD,5/4/2020,20167904,12230040,3.3,-30.6
10,0,OLD,5/4/2020,20177478,11147060,3,-33.5
1,0,OLD,5/5/2020,20205402,230284320,24.9,361.1
2,1,OLD,5/5/2020,20197397,78299080,8.5,85.7
3,1,OLD,5/5/2020,20207722,70847420,7.7,101.3
4,8,OLD,5/5/2020,20204342,70967740,7.7,774.5
5,3,OLD,5/5/2020,20206441,74175400,8,169.5
6,-4,OLD,5/5/2020,20173226,72219560,7.8,63.4
7,-2,OLD,5/5/2020,20181685,68956820,7.5,119.8
8,-2,OLD,5/5/2020,20184889,47233940,5.1,85.4
9,-2,OLD,5/5/2020,20192399,51933300,5.6,89.5
10,-1,OLD,5/5/2020,20167904,23749580,2.6,94.2
1,0,NEW,5/6/2020,20207341,52319060,20.6,100
2,-1,OLD,5/6/2020,20205402,24014140,9.5,-89.6
3,0,OLD,5/6/2020,20207722,22519540,8.9,-68.2
4,2,OLD,5/6/2020,20173226,26055640,10.3,-63.9
5,-3,OLD,5/6/2020,20197397,21572540,8.5,-72.4
6,1,OLD,5/6/2020,20181685,17111600,6.7,-75.2
7,0,NEW,5/6/2020,20207893,16378940,6.5,100
8,-3,OLD,5/6/2020,20206441,10784900,4.3,-85.5
9,0,OLD,5/6/2020,20192399,9193340,3.6,-82.3
10,0,OLD,5/6/2020,20167904,5545280,2.2,-76.7
1,0,OLD,5/7/2020,20207341,43861820,18.6,-16.2
2,1,OLD,5/7/2020,20207722,21799260,9.3,-3.2
3,-1,OLD,5/7/2020,20205402,21113780,9,-12.1
4,0,OLD,5/7/2020,20173226,23656280,10.1,-9.2
5,0,OLD,5/7/2020,20197397,19680580,8.4,-8.8
6,1,OLD,5/7/2020,20207893,16852980,7.2,2.9
7,-1,OLD,5/7/2020,20181685,13197800,5.6,-22.9
8,0,OLD,5/7/2020,20206441,9626600,4.1,-10.7
9,0,OLD,5/7/2020,20192399,7855260,3.3,-14.6
10,0,OLD,5/7/2020,20167904,4222800,1.8,-23.8
1,0,OLD,5/8/2020,20207341,46369300,19.7,5.7
2,0,OLD,5/8/2020,20207722,29310420,12.4,34.5
3,1,OLD,5/8/2020,20173226,26513060,11.2,12.1
4,-1,OLD,5/8/2020,20205402,20005820,8.5,-5.2
5,1,OLD,5/8/2020,20207893,16940160,7.2,0.5
6,-1,OLD,5/8/2020,20197397,16865440,7.2,-14.3
7,0,OLD,5/8/2020,20181685,11131200,4.7,-15.7
8,1,OLD,5/8/2020,20192399,10133480,4.3,29
9,-1,OLD,5/8/2020,20206441,10209000,4.3,6
10,0,OLD,5/8/2020,20167904,4733740,2,12.1
1,0,OLD,5/9/2020,20207341,158252880,23.3,241.3
2,2,OLD,5/9/2020,20205402,69643220,10.3,248.1
3,2,OLD,5/9/2020,20207893,71585060,10.5,322.6
4,-2,OLD,5/9/2020,20207722,53730040,7.9,83.3
5,-2,OLD,5/9/2020,20173226,59000140,8.7,122.5
6,0,OLD,5/9/2020,20197397,38295460,5.6,127.1
7,1,OLD,5/9/2020,20192399,37395360,5.5,269
8,1,OLD,5/9/2020,20206441,34491900,5.1,237.9
9,-2,OLD,5/9/2020,20181685,32727240,4.8,194
10,0,OLD,5/9/2020,20167904,13140900,1.9,177.6
1,0,OLD,5/10/2020,20207341,113359800,19.6,-28.4
2,1,OLD,5/10/2020,20207893,78244840,13.5,9.3
3,-1,OLD,5/10/2020,20205402,64160840,11.1,-7.9
4,0,OLD,5/10/2020,20207722,45326080,7.8,-15.6
5,0,OLD,5/10/2020,20173226,50543540,8.7,-14.3
6,0,OLD,5/10/2020,20197397,34975780,6,-8.7
7,2,OLD,5/10/2020,20181685,33968940,5.9,3.8
8,-1,OLD,5/10/2020,20192399,27361380,4.7,-26.8
9,-1,OLD,5/10/2020,20206441,24045500,4.2,-30.3
10,0,OLD,5/10/2020,20167904,11528120,2,-12.3
1,0,OLD,5/11/2020,20207341,34212660,18.5,-69.8
2,0,OLD,5/11/2020,20207893,21060340,11.4,-73.1
3,1,OLD,5/11/2020,20207722,17307140,9.4,-61.8
4,1,OLD,5/11/2020,20173226,19139620,10.4,-62.1
5,-2,OLD,5/11/2020,20205402,12180620,6.6,-81
6,0,OLD,5/11/2020,20197397,12321680,6.7,-64.8
7,0,OLD,5/11/2020,20181685,10582480,5.7,-68.8
8,2,OLD,5/11/2020,20167904,4362000,2.4,-62.2
9,-1,OLD,5/11/2020,20192399,7043740,3.8,-74.3
10,-1,OLD,5/11/2020,20206441,5976400,3.2,-75.1
1,0,OLD,5/12/2020,20207341,34759940,18.4,1.6
2,0,OLD,5/12/2020,20207893,24316340,12.9,15.5
3,0,OLD,5/12/2020,20207722,17706760,9.4,2.3
4,0,OLD,5/12/2020,20173226,18766140,9.9,-2
5,0,OLD,5/12/2020,20205402,12949780,6.8,6.3
6,0,OLD,5/12/2020,20197397,13868540,7.3,12.6
7,0,OLD,5/12/2020,20181685,9697240,5.1,-8.4
8,0,OLD,5/12/2020,20167904,5048700,2.7,15.7
9,0,OLD,5/12/2020,20192399,7770280,4.1,10.3
10,0,OLD,5/12/2020,20206441,5446900,2.9,-8.9
1,2,OLD,5/13/2020,20207722,27506740,11.9,55.3
2,0,NEW,5/13/2020,20208282,29475600,12.8,100
3,-1,OLD,5/13/2020,20207893,27921520,12.1,14.8
4,-3,OLD,5/13/2020,20207341,27758260,12,-20.1
5,-1,OLD,5/13/2020,20173226,15871860,6.9,-15.4
6,0,NEW,5/13/2020,20208562,15403800,6.7,100
7,-2,OLD,5/13/2020,20205402,11113180,4.8,-14.2
8,-2,OLD,5/13/2020,20197397,11404880,4.9,-17.8
9,0,NEW,5/13/2020,20204501,15932160,6.9,100
10,-3,OLD,5/13/2020,20181685,7132360,3.1,-26.4
1,1,OLD,5/14/2020,20208282,30575200,12.8,3.7
2,15,OLD,5/14/2020,20113252,24682480,10.3,822.4
3,0,OLD,5/14/2020,20207893,24454200,10.2,-12.4
4,0,NEW,5/14/2020,20208686,22274900,9.3,100
5,-1,OLD,5/14/2020,20207341,20673620,8.6,-25.5
6,1,OLD,5/14/2020,20205402,15554180,6.5,40
7,-2,OLD,5/14/2020,20173226,12213720,5.1,-23
8,-7,OLD,5/14/2020,20207722,10636520,4.4,-61.3
9,0,NEW,5/14/2020,20208241,9197000,3.8,100
10,-2,OLD,5/14/2020,20197397,8384300,3.5,-26.5
